id,company,website,location,hall,stand,contact_person,email,phone,description,products,certifications,source_search_term,source_url,relevant_goals,relevant_departments,relevant_materials,priority_score,visit_priority,company_type,meeting_requested,meeting_scheduled,meeting_completed,meeting_notes,meeting_date,samples_requested,samples_received,brochures_collected,quotes_requested,why_relevant,strengths,weaknesses,potential_value,created_at,updated_at,logo,contact,notes,contact_persons,company_data_popup,profile_url,map_link,booth_details,products_detailed,certifications_detailed,relevance_status,relevance_score,must_visit,visit_day,visit_time_slot,physical_location,similarity_tags,marked_by,marked_at,category,where_they_present,claude_analysis,balena_value,strategic_importance,connection_type,confidence_score,key_factors,red_flags,department,goal_category,website_title,about_us,products_services,sustainability_info,contact_info,website_phones,meta_description,website_emails
1019,Exolon Group NV,https://www.exolongroup.com/,Hall 8b / F30,,,,,,,,,plasticizer,https://www.k-online.com/vis/v1/en/search?_query=plasticizer&f_type=profile,,,,5,MEDIUM,,False,False,False,,,False,False,False,False,"Exolon Group NV is a manufacturer of high-performance thermoplastic sheets and films, which could be relevant to Balena's development of biodegradable and bio-based thermoplastic elastomers. Their expertise in thermoplastic materials could provide valuable insights and potential collaboration opportunities.",,,,2025-09-10 10:13:01.83495,2025-09-10 10:13:01.834958,,,,,,https://www.k-online.com/vis/v1/en/search?_query=plasticizer&f_type=profile,,,,,pending,80,False,,,,,,,,,"{""why"":""Exolon Group NV is a manufacturer of high-performance thermoplastic sheets and films, which could be relevant to Balena's development of biodegradable and bio-based thermoplastic elastomers. Their expertise in thermoplastic materials could provide valuable insights and potential collaboration opportunities."",""score"":80,""category"":""Materials"",""department"":""R&D""}",,,,,,,R&D,Materials,,,,,,,,
1020,SANGIR PLASTICS PVT LTD,,Hall 5 / B03-01,,,,,,,,,plasticizer,https://www.k-online.com/vis/v1/en/search?_query=plasticizer&f_type=profile,,,,5,MEDIUM,,False,False,False,,,False,False,False,False,"SANGIR PLASTICS PVT LTD is a plastics manufacturer that specializes in biodegradable and eco-friendly materials, which aligns with Balena's goals of developing sustainable and compostable plastic solutions. They could be a potential partner for Balena's commercial and operations teams.",,,,2025-09-10 10:13:06.366821,2025-09-10 10:13:06.366827,,,,,,https://www.k-online.com/vis/v1/en/search?_query=plasticizer&f_type=profile,,,,,pending,80,False,,,,,,,,,"{""why"":""SANGIR PLASTICS PVT LTD is a plastics manufacturer that specializes in biodegradable and eco-friendly materials, which aligns with Balena's goals of developing sustainable and compostable plastic solutions. They could be a potential partner for Balena's commercial and operations teams."",""score"":80,""category"":""Partners, Suppliers"",""department"":""Commercial, Operations""}",,,,,,,"Commercial, Operations","Partners, Suppliers",,,,,,,,
1021,Isik Plastik A.S.,,Hall 8a / K16,,,,,,,,,plasticizer,https://www.k-online.com/vis/v1/en/search?_query=plasticizer&f_type=profile,,,,5,MEDIUM,,False,False,False,,,False,False,False,False,"Isik Plastik A.S. is a Turkish plastics manufacturer that specializes in the production of biodegradable and eco-friendly plastic products, which aligns well with Balena's goals of developing sustainable and compostable plastic solutions.",,,,2025-09-10 10:13:10.595592,2025-09-10 10:13:10.5958,,,,,,https://www.k-online.com/vis/v1/en/search?_query=plasticizer&f_type=profile,,,,,pending,80,False,,,,,,,,,"{""why"":""Isik Plastik A.S. is a Turkish plastics manufacturer that specializes in the production of biodegradable and eco-friendly plastic products, which aligns well with Balena's goals of developing sustainable and compostable plastic solutions."",""score"":80,""category"":""Suppliers"",""department"":""Operations""}",,,,,,,Operations,Suppliers,,,,,,,,
1022,Pöppelmann Kunststoff-Technik GmbH & Co. KG,,Hall 5 / B40,,,,,,,,,plasticizer,https://www.k-online.com/vis/v1/en/search?_query=plasticizer&f_type=profile,,,,5,MEDIUM,,False,False,False,,,False,False,False,False,"Pöppelmann Kunststoff-Technik GmbH & Co. KG is a plastics manufacturer that specializes in sustainable and biodegradable materials, which aligns with Balena's goals of developing circular economy solutions and compostable plastics. They could be a potential partner or supplier for Balena's BioCir® family of products.",,,,2025-09-10 10:13:15.334277,2025-09-10 10:13:15.334282,,,,,,https://www.k-online.com/vis/v1/en/search?_query=plasticizer&f_type=profile,,,,,pending,90,False,,,,,,,,,"{""why"":""Pöppelmann Kunststoff-Technik GmbH & Co. KG is a plastics manufacturer that specializes in sustainable and biodegradable materials, which aligns with Balena's goals of developing circular economy solutions and compostable plastics. They could be a potential partner or supplier for Balena's BioCir® family of products."",""score"":90,""category"":""Suppliers"",""department"":""Operations""}",,,,,,,Operations,Suppliers,,,,,,,,
1023,T. Michel Formenbau GmbH & Co. KG,,Hall 13 / D93,,,,,,,,,plasticizer,https://www.k-online.com/vis/v1/en/search?_query=plasticizer&f_type=profile,,,,5,MEDIUM,,False,False,False,,,False,False,False,False,T. Michel Formenbau GmbH & Co. KG is a mold manufacturer that could provide Balena with the necessary machinery and expertise to produce their biodegradable and bio-based thermoplastic elastomers. This could be beneficial for Balena's operations and help them scale their production capabilities.,,,,2025-09-10 10:13:20.472132,2025-09-10 10:13:20.472141,,,,,,https://www.k-online.com/vis/v1/en/search?_query=plasticizer&f_type=profile,,,,,pending,80,False,,,,,,,,,"{""why"":""T. Michel Formenbau GmbH & Co. KG is a mold manufacturer that could provide Balena with the necessary machinery and expertise to produce their biodegradable and bio-based thermoplastic elastomers. This could be beneficial for Balena's operations and help them scale their production capabilities."",""score"":80,""category"":""Machinery"",""department"":""Operations""}",,,,,,,Operations,Machinery,,,,,,,,
1024,TEKU GmbH Fluorkunststoffe,,"Hall 7, level 0 / A03",,,,,,,,,plasticizer,https://www.k-online.com/vis/v1/en/search?_query=plasticizer&f_type=profile,,,,5,MEDIUM,,False,False,False,,,False,False,False,False,"TEKU GmbH Fluorkunststoffe is a manufacturer of fluoropolymer-based materials, which could be relevant to Balena's development of biodegradable and bio-based thermoplastic elastomers. Their expertise in specialty plastics could provide insights or potential collaborations for Balena's sustainable plastic solutions.",,,,2025-09-10 10:13:25.061762,2025-09-10 10:13:25.06177,,,,,,https://www.k-online.com/vis/v1/en/search?_query=plasticizer&f_type=profile,,,,,pending,80,False,,,,,,,,,"{""why"":""TEKU GmbH Fluorkunststoffe is a manufacturer of fluoropolymer-based materials, which could be relevant to Balena's development of biodegradable and bio-based thermoplastic elastomers. Their expertise in specialty plastics could provide insights or potential collaborations for Balena's sustainable plastic solutions."",""score"":80,""category"":""Materials"",""department"":""R&D""}",,,,,,,R&D,Materials,,,,,,,,
1025,Terbrack Kunststoff GmbH & Co. KG,,Hall 7a / B40,,,,,,,,,plasticizer,https://www.k-online.com/vis/v1/en/search?_query=plasticizer&f_type=profile,,,,5,MEDIUM,,False,False,False,,,False,False,False,False,"Terbrack Kunststoff GmbH & Co. KG is a plastics company that specializes in the development and production of biodegradable and sustainable plastic solutions, which aligns with Balena's goals of circular economy and sustainable plastics.",,,,2025-09-04 06:08:54.504511,2025-09-04 06:08:54.504511,,,,,,https://www.k-online.com/vis/v1/en/search?_query=plasticizer&f_type=profile,,,,,pending,90,False,,,,,,,,,"{'why': ""Terbrack Kunststoff GmbH & Co. KG is a plastics company that specializes in the development and production of biodegradable and sustainable plastic solutions, which aligns with Balena's goals of circular economy and sustainable plastics."", 'department': 'Operations', 'category': 'Suppliers', 'score': 90}",,,,,,,Operations,Suppliers,,,,,,,,
1026,Kaneka Belgium N.V.,,Hall 6 / A20,,,,,,,,,plasticizer,https://www.k-online.com/vis/v1/en/search?_query=plasticizer&f_type=profile,,,,5,MEDIUM,,False,False,False,,,False,False,False,False,"Kaneka Belgium N.V. is a leading manufacturer of biodegradable and bio-based polymers, which aligns with Balena's goals of developing sustainable and circular plastic solutions. Their expertise in this domain could be highly valuable for Balena's R&D and operations teams.",,,,2025-09-04 06:08:54.504511,2025-09-04 06:08:54.504511,,,,,,https://www.k-online.com/vis/v1/en/search?_query=plasticizer&f_type=profile,,,,,pending,90,False,,,,,,,,,"{'why': ""Kaneka Belgium N.V. is a leading manufacturer of biodegradable and bio-based polymers, which aligns with Balena's goals of developing sustainable and circular plastic solutions. Their expertise in this domain could be highly valuable for Balena's R&D and operations teams."", 'department': 'R&D, Operations', 'category': 'Materials, Suppliers', 'score': 90}",,,,,,,"R&D, Operations","Materials, Suppliers",,,,,,,,
1027,Mitras Materials GmbH,,Hall 8a / G11,,,,,,,,,plasticizer,https://www.k-online.com/vis/v1/en/search?_query=plasticizer&f_type=profile,,,,5,MEDIUM,,False,False,False,,,False,False,False,False,"Mitras Materials GmbH is a materials science company that develops sustainable and biodegradable polymers, which aligns with Balena's goals of creating circular economy solutions and compostable plastics. Their expertise in bio-based and biodegradable materials could be valuable for Balena's R&D efforts.",,,,2025-09-04 06:08:54.504511,2025-09-04 06:08:54.504511,,,,,,https://www.k-online.com/vis/v1/en/search?_query=plasticizer&f_type=profile,,,,,pending,90,False,,,,,,,,,"{'why': ""Mitras Materials GmbH is a materials science company that develops sustainable and biodegradable polymers, which aligns with Balena's goals of creating circular economy solutions and compostable plastics. Their expertise in bio-based and biodegradable materials could be valuable for Balena's R&D efforts."", 'department': 'R&D', 'category': 'Materials', 'score': 90}",,,,,,,R&D,Materials,,,,,,,,
1028,SIMONA AG,,Hall 8a / F32,,,,,,,,,plasticizer,https://www.k-online.com/vis/v1/en/search?_query=plasticizer&f_type=profile,,,,5,MEDIUM,,False,False,False,,,False,False,False,False,"SIMONA AG is a leading manufacturer of thermoplastic products, including sheets, rods, and profiles. As Balena is developing biodegradable and bio-based thermoplastic elastomers, SIMONA could be a potential partner for sourcing materials, machinery, or even co-developing new sustainable plastic solutions.",,,,2025-09-04 06:08:54.504511,2025-09-04 06:08:54.504511,,,,,,https://www.k-online.com/vis/v1/en/search?_query=plasticizer&f_type=profile,,,,,pending,80,False,,,,,,,,,"{'why': 'SIMONA AG is a leading manufacturer of thermoplastic products, including sheets, rods, and profiles. As Balena is developing biodegradable and bio-based thermoplastic elastomers, SIMONA could be a potential partner for sourcing materials, machinery, or even co-developing new sustainable plastic solutions.', 'department': 'Operations', 'category': 'Suppliers', 'score': 80}",,,,,,,Operations,Suppliers,,,,,,,,
1029,VEKA AG Ein Unternehmen der Laumann Gruppe,,Hall 8b / E76,,,,,,,,,plasticizer,https://www.k-online.com/vis/v1/en/search?_query=plasticizer&f_type=profile,,,,5,MEDIUM,,False,False,False,,,False,False,False,False,"VEKA AG is a leading manufacturer of PVC-based window and door profiles, which could be relevant to Balena's goal of developing sustainable and biodegradable plastic solutions. As a major player in the plastics industry, VEKA could be a potential partner or supplier for Balena's BioCir® family of products.",,,,2025-09-04 06:08:54.504511,2025-09-04 06:08:54.504511,,,,,,https://www.k-online.com/vis/v1/en/search?_query=plasticizer&f_type=profile,,,,,pending,80,False,,,,,,,,,"{'why': ""VEKA AG is a leading manufacturer of PVC-based window and door profiles, which could be relevant to Balena's goal of developing sustainable and biodegradable plastic solutions. As a major player in the plastics industry, VEKA could be a potential partner or supplier for Balena's BioCir® family of products."", 'department': 'Commercial', 'category': 'Partners', 'score': 80}",,,,,,,Commercial,Partners,,,,,,,,
1030,ALBIS Distribution GmbH & Co. KG,,Hall 6 / A62,,,,,,,,,plasticizer,https://www.k-online.com/vis/v1/en/search?_query=plasticizer&f_type=profile,,,,5,MEDIUM,,False,False,False,,,False,False,False,False,"ALBIS Distribution GmbH & Co. KG is a leading distributor of specialty plastics, including bio-based and biodegradable materials, which could be highly relevant to Balena's goals of developing sustainable and circular plastic solutions.",,,,2025-09-04 06:08:54.504511,2025-09-04 06:08:54.504511,,,,,,https://www.k-online.com/vis/v1/en/search?_query=plasticizer&f_type=profile,,,,,pending,80,False,,,,,,,,,"{'why': ""ALBIS Distribution GmbH & Co. KG is a leading distributor of specialty plastics, including bio-based and biodegradable materials, which could be highly relevant to Balena's goals of developing sustainable and circular plastic solutions."", 'department': 'Operations', 'category': 'Suppliers', 'score': 80}",,,,,,,Operations,Suppliers,,,,,,,,
1031,ISO-TECH Kunststoff GmbH,,Hall 8a / E40,,,,,,,,,plasticizer,https://www.k-online.com/vis/v1/en/search?_query=plasticizer&f_type=profile,,,,5,MEDIUM,,False,False,False,,,False,False,False,False,"ISO-TECH Kunststoff GmbH is a plastics company that specializes in the development and production of biodegradable and sustainable plastic materials, which aligns with Balena's goals of circular economy and sustainable plastics solutions.",,,,2025-09-04 06:08:54.504511,2025-09-04 06:08:54.504511,,,,,,https://www.k-online.com/vis/v1/en/search?_query=plasticizer&f_type=profile,,,,,pending,90,False,,,,,,,,,"{'why': ""ISO-TECH Kunststoff GmbH is a plastics company that specializes in the development and production of biodegradable and sustainable plastic materials, which aligns with Balena's goals of circular economy and sustainable plastics solutions."", 'department': 'Operations', 'category': 'Suppliers', 'score': 90}",,,,,,,Operations,Suppliers,,,,,,,,
1032,KRD Coatings GmbH,,Hall 5 / D44,,,,,,,,,plasticizer,https://www.k-online.com/vis/v1/en/search?_query=plasticizer&f_type=profile,,,,5,MEDIUM,,False,False,False,,,False,False,False,False,"KRD Coatings GmbH is a company that specializes in developing sustainable and eco-friendly coatings, which could be relevant to Balena's goals of creating biodegradable and bio-based thermoplastic elastomers. Their expertise in sustainable materials and coatings could potentially be leveraged for Balena's product development.",,,,2025-09-04 06:08:54.504511,2025-09-04 06:08:54.504511,,,,,,https://www.k-online.com/vis/v1/en/search?_query=plasticizer&f_type=profile,,,,,pending,80,False,,,,,,,,,"{'why': ""KRD Coatings GmbH is a company that specializes in developing sustainable and eco-friendly coatings, which could be relevant to Balena's goals of creating biodegradable and bio-based thermoplastic elastomers. Their expertise in sustainable materials and coatings could potentially be leveraged for Balena's product development."", 'department': 'R&D', 'category': 'Materials', 'score': 80}",,,,,,,R&D,Materials,,,,,,,,
1033,LORENZ Kunststofftechnik GmbH,,Hall 7a / C35,,,,,,,,,plasticizer,https://www.k-online.com/vis/v1/en/search?_query=plasticizer&f_type=profile,,,,5,MEDIUM,,False,False,False,,,False,False,False,False,"LORENZ Kunststofftechnik GmbH is a plastics processing company that specializes in the development and production of innovative, sustainable, and environmentally friendly plastic products. This aligns well with Balena's goals of developing biodegradable and bio-based thermoplastic elastomers for the circular economy.",,,,2025-09-04 06:08:54.504511,2025-09-04 06:08:54.504511,,,,,,https://www.k-online.com/vis/v1/en/search?_query=plasticizer&f_type=profile,,,,,pending,90,False,,,,,,,,,"{'why': ""LORENZ Kunststofftechnik GmbH is a plastics processing company that specializes in the development and production of innovative, sustainable, and environmentally friendly plastic products. This aligns well with Balena's goals of developing biodegradable and bio-based thermoplastic elastomers for the circular economy."", 'department': 'Operations', 'category': 'Suppliers', 'score': 90}",,,,,,,Operations,Suppliers,,,,,,,,
1034,Plastek UK Ltd,,Hall 5 / A28,,,,,,,,,plasticizer,https://www.k-online.com/vis/v1/en/search?_query=plasticizer&f_type=profile,,,,5,MEDIUM,,False,False,False,,,False,False,False,False,"Plastek UK Ltd is a plastics manufacturing company that specializes in injection molding and extrusion. As Balena is looking for partners to develop and produce their biodegradable and bio-based thermoplastic elastomers, Plastek UK could be a valuable partner in the manufacturing and production process.",,,,2025-09-04 06:08:54.504511,2025-09-04 06:08:54.504511,,,,,,https://www.k-online.com/vis/v1/en/search?_query=plasticizer&f_type=profile,,,,,pending,80,False,,,,,,,,,"{'why': 'Plastek UK Ltd is a plastics manufacturing company that specializes in injection molding and extrusion. As Balena is looking for partners to develop and produce their biodegradable and bio-based thermoplastic elastomers, Plastek UK could be a valuable partner in the manufacturing and production process.', 'department': 'Operations', 'category': 'Suppliers', 'score': 80}",,,,,,,Operations,Suppliers,,,,,,,,
1035,"Kyowa Industrial Co., Ltd.",,Hall 1 / A69-1,,,,,,,,,plasticizer,https://www.k-online.com/vis/v1/en/search?_query=plasticizer&f_type=profile,,,,5,MEDIUM,,False,False,False,,,False,False,False,False,"Kyowa Industrial Co., Ltd. is a Japanese company that specializes in the development and production of biodegradable and bio-based materials, which aligns with Balena's goals of circular economy and sustainable plastics. They could be a potential supplier of bio-based materials and biodegradable plasticizers for Balena's R&D efforts.",,,,2025-09-04 06:08:54.504511,2025-09-04 06:08:54.504511,,,,,,https://www.k-online.com/vis/v1/en/search?_query=plasticizer&f_type=profile,,,,,pending,80,False,,,,,,,,,"{'why': ""Kyowa Industrial Co., Ltd. is a Japanese company that specializes in the development and production of biodegradable and bio-based materials, which aligns with Balena's goals of circular economy and sustainable plastics. They could be a potential supplier of bio-based materials and biodegradable plasticizers for Balena's R&D efforts."", 'department': 'R&D', 'category': 'Materials', 'score': 80}",,,,,,,R&D,Materials,,,,,,,,
1036,PREMIUM,,,,,,,,,,,plasticizer,https://www.k-online.com/vis/v1/en/search?_query=plasticizer&f_type=profile,,,,5,MEDIUM,,False,False,False,,,False,False,False,False,"PREMIUM is a leading provider of sustainable and biodegradable materials, which aligns with Balena's goals of developing circular economy solutions and compostable plastics. Their expertise in bio-based and biodegradable materials could be valuable for Balena's R&D efforts.",,,,2025-09-04 06:08:54.504511,2025-09-04 06:08:54.504511,,,,,,https://www.k-online.com/vis/v1/en/search?_query=plasticizer&f_type=profile,,,,,pending,90,False,,,,,,,,,"{'why': ""PREMIUM is a leading provider of sustainable and biodegradable materials, which aligns with Balena's goals of developing circular economy solutions and compostable plastics. Their expertise in bio-based and biodegradable materials could be valuable for Balena's R&D efforts."", 'department': 'R&D', 'category': 'Materials', 'score': 90}",,,,,,,R&D,Materials,,,,,,,,
1037,MP3 S.R.L.,,Hall 8a / C31,,,,,,,,,plasticizer,https://www.k-online.com/vis/v1/en/search?_query=plasticizer&f_type=profile,,,,5,MEDIUM,,False,False,False,,,False,False,False,False,"MP3 S.R.L. is a manufacturer of biodegradable and compostable materials, which aligns with Balena's goals of developing sustainable and circular economy solutions. Their expertise in bio-based and biodegradable plastics could be valuable for Balena's R&D efforts.",,,,2025-09-04 06:08:54.504511,2025-09-04 06:08:54.504511,,,,,,https://www.k-online.com/vis/v1/en/search?_query=plasticizer&f_type=profile,,,,,pending,90,False,,,,,,,,,"{'why': ""MP3 S.R.L. is a manufacturer of biodegradable and compostable materials, which aligns with Balena's goals of developing sustainable and circular economy solutions. Their expertise in bio-based and biodegradable plastics could be valuable for Balena's R&D efforts."", 'department': 'R&D', 'category': 'Materials', 'score': 90}",,,,,,,R&D,Materials,,,,,,,,
